File Path,orginal_sequence,steps,time_spent,Extra_Steps,num_R,num_T,modified_sequence
Puzzles/SelectionS16/puzzle_1/student_132,TRVVRRRRIIOoTFPOPEPOPTSRSRSRSRRRRRSTOSRRRRRRRRRRS,42,472,26,23,4,TRVVRRRRIIOTFPOPEPOPTRRRRRRRRTORRRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_20,VVIIFPOOOPEPORPTTSRRRRS,21,176,5,5,2,VVIIFPOOOPEPORPTTRRRR
Puzzles/SelectionS16/puzzle_1/student_104,VVTTOIOIFPOPEPOPS,16,287,0,0,2,VVTTOIOIFPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_18,VTVPIIFOEPOPPRROTOS,18,347,2,2,2,VTVPIIFOEPOPPRROTO
Puzzles/SelectionS16/puzzle_1/student_103,VVOIOIFPOPTEPOPTS,16,111,0,0,2,VVOIOIFPOPTEPOPT
Puzzles/SelectionS16/puzzle_1/student_27,VVIIFPOPEPOPTTTTSSRiTSTOROS,23,394,7,2,6,VVIIFPOPEPOPTTTTRTTORO
Puzzles/SelectionS16/puzzle_1/student_87,TTVVOIOIFPOPEOPPRRRS,19,138,3,3,2,TTVVOIOIFPOPEOPPRRR
Puzzles/SelectionS16/puzzle_1/student_73,VVIIFPOPEOTPTTTTSRRROOSPSRS,23,258,7,4,5,VVIIFPOPEOTPTTTTRRROOPR
Puzzles/SelectionS16/puzzle_1/student_168,VVOIOIFPOPEPOPTTS,16,223,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_74,VVIIFPOOOPEPORPTTS,17,140,1,1,2,VVIIFPOOOPEPORPTT
Puzzles/SelectionS16/puzzle_1/student_150,VVIOOIFPOPEPOTTTSRPS,18,251,2,1,3,VVIOOIFPOPEPOTTTRP
Puzzles/SelectionS16/puzzle_1/student_42,VVOIOITFPOPEfRPOPRRSTS,20,172,4,3,2,VVOIOITFPOPERPOPRRT
Puzzles/SelectionS16/puzzle_1/student_89,ORRVVIOIFPOPEPOPRRTTS,20,168,4,4,2,ORRVVIOIFPOPEPOPRRTT
Puzzles/SelectionS16/puzzle_1/student_161,VVOIOIFPOPPEOPTTS,16,270,0,0,2,VVOIOIFPOPPEOPTT
Puzzles/SelectionS16/puzzle_1/student_195,VVOOIFPOPEPOPTITS,16,161,0,0,2,VVOOIFPOPEPOPTIT
Puzzles/SelectionS16/puzzle_1/student_45,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOITOITFPOPEOPPTT
Puzzles/SelectionS16/puzzle_1/student_19,VVIOIOFPOPEPOPTTS,16,88,0,0,2,VVIOIOFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_26,VVOIOIFPOPEPOPTTS,16,114,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_102,VTVITIFPOPOOEPOPTS,17,279,1,0,3,VTVITIFPOPOOEPOPT
Puzzles/SelectionS16/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,100,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_21,VVOIOIRFPOPERPOPTTS,18,107,2,2,2,VVOIOIRFPOPERPOPTT
Puzzles/SelectionS16/puzzle_1/student_28,VVTOIOiFPOPPEROPTSITS,19,196,3,1,3,VVTOIOFPOPPEROPTIT
Puzzles/SelectionS16/puzzle_1/student_133,VVROIROIRFPOPEPOPTTS,19,123,3,3,2,VVROIROIRFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_17,VVIOTIOFPOTPEPOPS,16,116,0,0,2,VVIOTIOFPOTPEPOP
Puzzles/SelectionS16/puzzle_1/student_10,VVOIOIFPOPRREPOPTTS,18,326,2,2,2,VVOIOIFPOPRREPOPTT
Puzzles/SelectionS16/puzzle_1/student_134,VvRIITFPOPERPOPOOTSVRTS,21,398,5,3,3,VRIITFPOPERPOPOOTVRT
Puzzles/SelectionS16/puzzle_1/student_44,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOITOITFPOPEOPPTT
Puzzles/SelectionS16/puzzle_1/student_194,VVIOIOFPOEOPPPTTS,16,102,0,0,2,VVIOIOFPOEOPPPTT
Puzzles/SelectionS16/puzzle_1/student_160,VVOIOIFOPPEPOPTTS,16,560,0,0,2,VVOIOIFOPPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_167,VVOIORRIFOEOPPPPTTSRS,19,282,3,3,2,VVOIORRIFOEOPPPPTTR
Puzzles/SelectionS16/puzzle_1/student_193,VVIIFOOOPEOPPPTTS,16,97,0,0,2,VVIIFOOOPEOPPPTT
Puzzles/SelectionS16/puzzle_1/student_43,VVTOTIOIFPOPREPOPRTRS,20,124,4,3,3,VVTOTIOIFPOPREPOPRTR
Puzzles/SelectionS16/puzzle_1/student_88,VVOOIOiOfPRRPEPRRPRRRTTSTISTFS,27,953,11,7,4,VVOOIOOPRRPEPRRPRRRTTTITF
Puzzles/SelectionS16/puzzle_1/student_158,VVOIOIFOEOPPPPTTSTSTSTSTS,20,144,4,0,6,VVOIOIFOEOPPPPTTTTTT
Puzzles/SelectionS16/puzzle_1/student_81,IRERIRRRVVFPOPRTPOPTOOS,22,325,6,6,2,IRERIRRRVVFPOPRTPOPTOO
Puzzles/SelectionS16/puzzle_1/student_75,VRVORIIFOOEPRPRoORTPRRRPSTSRSRSRRSSSSSSSSSSSSSRS,30,220,14,13,2,VRVORIIFOOEPRPRORTPRRRPTRRRRR
Puzzles/SelectionS16/puzzle_1/student_72,TVTVIIOOFPOPEPOPSRSRS,18,84,2,2,2,TVTVIIOOFPOPEPOPRR
Puzzles/SelectionS16/puzzle_1/student_86,VRTTTVIOOIFPORRRPPEOPS,21,142,5,4,3,VRTTTVIOOIFPORRRPPEOP
Puzzles/SelectionS16/puzzle_1/student_156,VVOIOIFPOPEOPTTTSPS,17,314,1,0,3,VVOIOIFPOPEOPTTTP
Puzzles/SelectionS16/puzzle_1/student_169,VRRVIIFPOOvRRTORPREPOPTS,23,223,7,6,2,VRRVIIFPOORRTORPREPOPT
Puzzles/SelectionS16/puzzle_1/student_4,VVTIOOIRFRPOPEPTOPSRS,19,109,3,3,2,VVTIOOIRFRPOPEPTOPR
Puzzles/SelectionS16/puzzle_1/student_203,VVIIFOEOOOPPPPTTS,16,184,0,0,2,VVIIFOEOOOPPPPTT
Puzzles/SelectionS16/puzzle_1/student_3,VIVTIFPOPEPOPTOOS,16,161,0,0,2,VIVTIFPOPEPOPTOO
Puzzles/SelectionS16/puzzle_1/student_2,VVOOIITFPPOEOPRTPSRS,18,142,2,2,2,VVOOIITFPPOEOPRTPR
Puzzles/SelectionS16/puzzle_1/student_5,VVOIROIFPOPEPOPTTS,17,159,1,1,2,VVOIROIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_205,VTVIOOIFPOPEPOPTS,16,126,0,0,2,VTVIOOIFPOPEPOPT
Puzzles/SelectionS16/puzzle_1/student_180,VVIIRFOEPROROPRRRRTORRRRRRTPRRRPSRRS,34,636,18,18,2,VVIIRFOEPROROPRRRRTORRRRRRTPRRRPRR
Puzzles/SelectionS16/puzzle_1/student_50,VVIIfPOPERPOPOROTTSTFS,20,298,4,2,3,VVIIPOPERPOPOROTTTF
Puzzles/SelectionS16/puzzle_1/student_174,VVTIOTOIFPOPPEOPS,16,85,0,0,2,VVTIOTOIFPOPPEOP
Puzzles/SelectionS16/puzzle_1/student_68,VVOIOIFPRRRROPRPERRRROPRTTS,26,271,10,10,2,VVOIOIFPRRRROPRPERRRROPRTT
Puzzles/SelectionS16/puzzle_1/student_173,PTVVFPROPIIOOTOEPSRRRRRRS,23,115,7,7,2,PTVVFPROPIIOOTOEPRRRRRR
Puzzles/SelectionS16/puzzle_1/student_57,VVOIOIFPOPEOPPTTS,16,114,0,0,2,VVOIOIFPOPEOPPTT
Puzzles/SelectionS16/puzzle_1/student_187,VVOTOITIFPOPEPOPSRSTiSRSTSRSRSRRSRRS,27,378,11,8,4,VVOTOITIFPOPEPOPRTRTRRRRRR
Puzzles/SelectionS16/puzzle_1/student_95,VVOIOIFPOPEPOPTTS,16,148,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_145,VVOIOIFPOPEPOPTTS,16,492,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_59,VVOORIOIFPRPEPOPTTS,18,220,2,2,2,VVOORIOIFPRPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_66,VVOOTOOITFPRRPEPRPTISRRRS,23,305,7,6,3,VVOOTOOITFPRRPEPRPTIRRR
Puzzles/SelectionS16/puzzle_1/student_92,VVIIfOOOPPEPOPTTSTFS,18,159,2,0,3,VVIIOOOPPEPOPTTTF
Puzzles/SelectionS16/puzzle_1/student_32,VVOIOITTFRRPOPEPOPS,18,101,2,2,2,VVOIOITTFRRPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_129,VVOIOIFPOPOPPTTTSTTSERRS,21,276,5,2,5,VVOIOIFPOPOPPTTTTTERR
Puzzles/SelectionS16/puzzle_1/student_111,ORRRfVVIRIOOFPRREOTRPRRPPRTSRRS,29,209,13,12,2,ORRRVVIRIOOFPRREOTRPRRPPRTRR
Puzzles/SelectionS16/puzzle_1/student_35,iITVRRVROIOFOPRRPOEPTPSRRSRRRRRRRS,31,184,15,14,2,ITVRRVROIOFOPRRPOEPTPRRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_127,vRVIRIFOPPEOOOPPTTSVTS,20,264,4,2,3,RVIRIFOPPEOOOPPTTVT
Puzzles/SelectionS16/puzzle_1/student_118,TTVRVIOROOIFPRPePOPSETS,21,196,5,3,3,TTVRVIOROOIFPRPPOPET
Puzzles/SelectionS16/puzzle_1/student_120,OOTVVTIIFPOPEPOPS,16,252,0,0,2,OOTVVTIIFPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_143,vVTOROTOTVOFRPEPTTRIIRPRTPRSTSTSTSTS,31,352,15,6,10,VTOROTOTVOFRPEPTTRIIRPRTPRTTTT
Puzzles/SelectionS16/puzzle_1/student_67,VVOIOIFPOTPEPTOPS,16,109,0,0,2,VVOIOIFPOTPEPTOP
Puzzles/SelectionS16/puzzle_1/student_60,VVOIOIFPOPEPOPTTS,16,82,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_144,VVOIOIfPOPEFPTOPTSTRS,19,986,3,1,3,VVOIOIPOPEFPTOPTTR
Puzzles/SelectionS16/puzzle_1/student_94,TTFPOOIOIVVOPRERPPRS,19,279,3,3,2,TTFPOOIOIVVOPRERPPR
Puzzles/SelectionS16/puzzle_1/student_69,VVOITOIFOEOPPPRRRPTS,19,109,3,3,2,VVOITOIFOEOPPPRRRPT
Puzzles/SelectionS16/puzzle_1/student_56,VVOIOIFPOPEPOPTTS,16,139,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_172,TIROROIFOPVVTEOPPPS,18,108,2,2,2,TIROROIFOPVVTEOPPP
Puzzles/SelectionS16/puzzle_1/student_175,VRVOOIIFPOPPEPOTTS,17,103,1,1,2,VRVOOIIFPOPPEPOTT
Puzzles/SelectionS16/puzzle_1/student_51,VVRRITIFPOPEPOPTOoSRSRSROTS,23,220,7,5,3,VVRRITIFPOPEPOPTORRROT
Puzzles/SelectionS16/puzzle_1/student_181,VVOIOIFPOPRPEPORTTS,18,127,2,2,2,VVOIOIFPOPRPEPORTT
Puzzles/SelectionS16/puzzle_1/student_121,PVVIITRFRROORROROPEPRPTSSSSSSSSSRSRS,25,788,9,9,2,PVVIITRFRROORROROPEPRPTRR
Puzzles/SelectionS16/puzzle_1/student_126,IRROIORVVFPOPEPoPTORTSRS,22,429,6,5,2,IRROIORVVFPOPEPPTORTR
Puzzles/SelectionS16/puzzle_1/student_119,FOIVTVORRPEPPPTIOOS,18,339,2,2,2,FOIVTVORRPEPPPTIOO
Puzzles/SelectionS16/puzzle_1/student_34,FPPOEPOPTVVIIOOTS,16,105,0,0,2,FPPOEPOPTVVIIOOT
Puzzles/SelectionS16/puzzle_1/student_110,VVOIOIFPOPEPOPTTS,16,112,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_117,VVTIIOOTFPOPEPOPSRS,17,201,1,1,2,VVTIIOOTFPOPEPOPR
Puzzles/SelectionS16/puzzle_1/student_33,VVOIOIFOERROTTTTPPRRTSSRRRPPS,26,286,10,7,5,VVOIOIFOERROTTTTPPRRTRRRPP
Puzzles/SelectionS16/puzzle_1/student_128,VRRVORIOIFPoEROROTTTRPRPPTSRRRRRS,31,277,15,12,4,VRRVORIOIFPEROROTTTRPRPPTRRRRR
Puzzles/SelectionS16/puzzle_1/student_77,OOIIROFPOPERRPRPVVTTS,20,153,4,4,2,OOIIROFPOPERRPRPVVTT
Puzzles/SelectionS16/puzzle_1/student_153,VVOIOIFPORREOPTTTTPPS,20,220,4,2,4,VVOIOIFPORREOPTTTTPP
Puzzles/SelectionS16/puzzle_1/student_83,VVIIFPPOEPOPOOTTS,16,275,0,0,2,VVIIFPPOEPOPOOTT
Puzzles/SelectionS16/puzzle_1/student_198,VRTVOOIITFOPEOPTTSTRSRSRRPPSRS,25,259,9,6,5,VRTVOOIITFOPEOPTTTRRRRPPR
Puzzles/SelectionS16/puzzle_1/student_154,VVROIOIFPOPEPOPTTS,17,325,1,1,2,VVROIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_70,TIRRTVIVOTOFPPERRRTROOPPSTTSRSRSTSTS,30,289,14,8,8,TIRRTVIVOTOFPPERRRTROOPPTTRRTT
Puzzles/SelectionS16/puzzle_1/student_162,VVOITOIROFOERPPRRPRPTS,21,388,5,5,2,VVOITOIROFOERPPRRPRPT
Puzzles/SelectionS16/puzzle_1/student_46,VVTOITOIFOPPEPROPSRRSRRSRRRSRRSRRSRRSRSRS,32,435,16,16,2,VVTOITOIFOPPEPROPRRRRRRRRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_196,VVRROIOIFPOPEPOPTTSRRRS,21,168,5,5,2,VVRROIOIFPOPEPOPTTRRR
Puzzles/SelectionS16/puzzle_1/student_79,VVIIFOPPERRRTOPPTRORROTTSRRRRTRS,30,515,14,11,5,VVIIFOPPERRRTOPPTRORROTTRRRRTR
Puzzles/SelectionS16/puzzle_1/student_191,VVTOIOIFOREOPPPPTSRSRSRSRSRSRSRSRS,25,666,9,9,2,VVTOIOIFOREOPPPPTRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_41,TVVRRRROIOTIFPEOPPOPS,20,104,4,4,2,TVVRRRROIOTIFPEOPPOP
Puzzles/SelectionS16/puzzle_1/student_165,VVOORRIIFPOPEPOPRTTSRRRRS,23,251,7,7,2,VVOORRIIFPOPEPOPRTTRRRR
Puzzles/SelectionS16/puzzle_1/student_15,VVOOTITIRFPOPEOPTSPS,18,83,2,1,3,VVOOTITIRFPOPEOPTP
Puzzles/SelectionS16/puzzle_1/student_131,VIOTOVFPPTOIEPRPROS,18,91,2,2,2,VIOTOVFPPTOIEPRPRO
Puzzles/SelectionS16/puzzle_1/student_109,VVIIFPOPEPOPTTTTSRSOSTSRRRRRRRORTTSRRRRRRRRRRS,40,441,24,19,7,VVIIFPOPEPOPTTTTROTRRRRRRRORTTRRRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_136,VRRVIIFOPPRPRREROOiPRROTTSRRSSSRRiTSTSSRRRRRRRS,39,335,23,19,4,VRRVIIFOPPRPRREROOPRROTTRRRRTTRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_12,TVVOIOIFOPPETPOPS,16,144,0,0,2,TVVOIOIFOPPETPOP
